date,rate
2024-10-27,21
2024-09-15,19
2024-07-28,18
2023-12-17,16
2023-10-29,15
2023-09-17,13
2023-08-14,12
2023-07-23,8.5
2022-09-18,7.5
2022-07-24,8
2022-06-13,9.5
2022-05-26,11
2022-05-03,14
2022-04-10,17
2022-02-27,20
2022-02-13,9.5
2021-12-19,8.5
2021-10-24,7.5
2021-09-12,6.75
2021-07-25,6.5
2021-06-14,5.5
2021-04-25,5
2021-03-21,4.5
2020-07-26,4.25
2020-06-21,4.5
2020-04-26,5.5
2020-02-09,6
2019-12-15,6.25
2019-10-27,6.5
2019-09-08,7
2019-07-28,7.25
2019-06-16,7.5
2018-12-16,7.75
2018-09-16,7.5
2018-03-25,7.25
2018-02-11,7.5
2017-12-17,7.75
2017-10-29,8.25
2017-09-17,8.5
2017-06-18,9
2017-05-01,9.25
2017-03-26,9.75
2016-09-18,10
2016-06-13,10.5
2015-08-02,11
2015-06-15,11.5
2015-05-04,12.5
2015-03-15,14
2015-02-01,15
2014-12-15,17
2014-12-11,10.5
2014-11-04,9.5
2014-07-27,8
2014-04-27,7.5
2014-03-02,7
2013-09-16,5.5
